Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100uF","CP_Elec_6.3x7.7",61.536317,-97.573336,180.000000,top
"C2","100uF","CP_Elec_6.3x7.7",89.450000,-87.010000,90.000000,top
"C3","2.2uF","C_0603_1608Metric",155.130000,-114.850000,180.000000,top
"C4","2.2uF","C_0603_1608Metric",140.120000,-110.600000,90.000000,top
"C5","33pF","C_0402_1005Metric",148.590000,-135.360000,-90.000000,top
"C6","33pF","C_0402_1005Metric",141.230000,-135.360000,-90.000000,top
"C7","100uF","CP_Elec_6.3x7.7",142.890000,-91.040000,-90.000000,top
"C8","100nF","C_0603_1608Metric",164.280000,-70.990000,90.000000,top
"C9","100nF","C_0603_1608Metric",95.700000,-70.960000,90.000000,top
"C10","100uF","CP_Elec_6.3x7.7",97.760000,-91.175000,-90.000000,top
"C11","100nF","C_0603_1608Metric",118.532500,-68.775000,90.000000,top
"C12","100nF","C_0402_1005Metric",143.530000,-129.860000,0.000000,top
"C13","100nF","C_0402_1005Metric",154.210000,-126.360000,-90.000000,top
"C14","100nF","C_0402_1005Metric",153.180000,-113.360000,-90.000000,top
"C15","100nF","C_0402_1005Metric",147.650000,-129.810000,180.000000,top
"C16","100nF","C_0402_1005Metric",138.230000,-112.550000,90.000000,top
"C17","100nF","C_0402_1005Metric",136.100000,-126.300000,-90.000000,top
"C18","100nF","C_0402_1005Metric",148.650000,-130.740000,0.000000,top
"C19","100nF","C_0402_1005Metric",149.150000,-131.660000,180.000000,top
"C20","100nF","C_0402_1005Metric",142.110000,-131.750000,0.000000,top
"C21","100uF","CP_Elec_6.3x7.7",120.535000,-91.225000,-90.000000,top
"C22","100nF","C_0603_1608Metric",141.390000,-71.040000,90.000000,top
"C23","100uF","CP_Elec_6.3x7.7",170.010000,-91.700000,-90.000000,top
"C24","100nF","C_0603_1608Metric",186.400000,-71.740000,180.000000,top
"C25","100uF","CP_Elec_6.3x7.7",191.035000,-91.425000,-90.000000,top
"C26","100nF","C_0603_1608Metric",209.260000,-69.450000,180.000000,top
"C27","100uF","CP_Elec_6.3x7.7",212.360000,-91.450000,-90.000000,top
"C28","10uF","C_0603_1608Metric",160.250000,-134.670000,0.000000,top
"C29","10uF","C_0603_1608Metric",160.401992,-131.128008,45.000000,top
"C30","100uF","CP_Elec_6.3x7.7",234.670000,-122.600000,-45.000000,top
"C31","100uF","CP_Elec_6.3x7.7",220.190000,-97.140000,90.000000,top
"C32","100nF","C_0402_1005Metric",96.420000,-112.150000,180.000000,top
"C33","10uF","C_0603_1608Metric",97.680000,-108.980000,0.000000,top
"C34","10uF","C_0805_2012Metric",105.160000,-107.340000,-90.000000,top
"C35","100nF","C_0402_1005Metric",139.320000,-140.760000,90.000000,top
"C36","10uF","C_0603_1608Metric",157.260000,-134.670000,180.000000,top
"CARD1","~","SD_KARTA_OPRAVENA",97.620000,-125.015000,0.000000,top
